modelo_id;topic_id;doc_id;eval_1;eval_2;eval_3;eval_4
Kmeans_tfidf;6;5;1;1;1;1
Kmeans_tfidf;7;1;1;1;2;1
Kmeans_tfidf;7;2;1;1;1;1
Kmeans_tfidf;7;3;1;1;1;1
Kmeans_tfidf;7;4;1;1;1;1
Kmeans_tfidf;7;5;1;1;1;1
Kmeans_tfidf;8;1;1;1;1;1
Kmeans_tfidf;8;2;1;1;1;1
Kmeans_tfidf;8;3;1;1;1;1
Kmeans_tfidf;8;4;1;1;1;1
Kmeans_tfidf;8;5;1;1;1;1
Kmeans_tfidf;9;1;1;1;1;1
Kmeans_tfidf;9;2;1;1;1;1
Kmeans_tfidf;9;3;1;1;1;1
Kmeans_tfidf;9;4;1;1;1;1
Kmeans_tfidf;9;5;1;1;1;1
Kmeans_tfidf;10;1;1;1;1;1
Kmeans_tfidf;10;2;1;1;1;1
Kmeans_tfidf;10;3;1;1;1;1
Kmeans_tfidf;10;4;1;1;1;1
Kmeans_tfidf;10;5;1;1;1;1
Kmeans_tfidf;11;1;1;1;1;1
Kmeans_tfidf;11;2;1;1;1;1
Kmeans_tfidf;11;3;1;1;1;1
Kmeans_tfidf;11;4;1;1;1;1
Kmeans_tfidf;11;5;1;1;1;1
Kmeans_tfidf;12;1;1;1;1;1
Kmeans_tfidf;12;2;1;1;1;1
Kmeans_tfidf;12;3;1;1;1;1
Kmeans_tfidf;12;4;1;1;1;1
Kmeans_tfidf;12;5;1;1;1;1
Kmeans_tfidf;13;1;1;1;1;1
Kmeans_tfidf;13;2;1;1;1;1
Kmeans_tfidf;13;3;1;1;1;1
Kmeans_tfidf;13;4;1;1;1;1
Kmeans_tfidf;13;5;1;1;1;1
Kmeans_tfidf;14;1;1;1;1;1
Kmeans_tfidf;14;2;1;1;1;1
Kmeans_tfidf;14;3;1;1;1;1
Kmeans_tfidf;14;4;1;1;1;1
Kmeans_tfidf;14;5;1;1;1;1
Kmeans_tfidf;15;1;2;2;2;2
Kmeans_tfidf;15;2;1;1;1;2
Kmeans_tfidf;15;3;1;1;1;1
Kmeans_tfidf;15;4;2;2;2;2
Kmeans_tfidf;15;5;1;1;2;2
Kmeans_tfidf;16;1;1;1;1;1
Kmeans_tfidf;16;2;1;1;1;1
Kmeans_tfidf;16;3;1;1;2;1
Kmeans_tfidf;16;4;1;1;2;1
Kmeans_tfidf;16;5;1;1;1;1
Kmeans_tfidf;17;1;2;1;1;1
Kmeans_tfidf;17;2;2;2;2;2
Kmeans_tfidf;17;3;1;1;1;1
Kmeans_tfidf;17;4;2;1;2;1
Kmeans_tfidf;18;1;1;1;1;1
Kmeans_tfidf;18;2;1;1;1;1
Kmeans_tfidf;18;3;1;1;1;1
Kmeans_tfidf;18;4;1;1;1;1
Kmeans_tfidf;18;5;1;1;1;1
Kmeans_tfidf;19;1;1;1;1;1
Kmeans_tfidf;19;2;1;1;1;1
Kmeans_tfidf;19;3;1;1;1;1
Kmeans_tfidf;19;4;1;1;1;1
Kmeans_tfidf;19;5;1;1;1;1
Kmeans_tfidf;20;1;1;1;1;1
Kmeans_tfidf;20;2;1;1;1;1
Kmeans_tfidf;20;3;1;1;1;1
Kmeans_tfidf;20;4;1;1;1;1
Kmeans_tfidf;20;5;1;1;1;1
Kmeans_w2v;1;1;1;1;2;1
Kmeans_w2v;1;2;1;1;1;1
Kmeans_w2v;1;3;1;1;2;2
Kmeans_w2v;1;4;1;1;1;1
Kmeans_w2v;1;5;2;2;2;2
Kmeans_w2v;2;1;1;1;1;1
Kmeans_w2v;2;2;1;1;1;1
Kmeans_w2v;2;3;1;1;1;1
